,country,Infection_corr_index,Infection_p-value,Death_corr_index,Death_p-value
0,Afghanistan,0.0588920410234506,0.36267097999787323,0.04821124348912489,0.4562826888817787
1,Andorra,-0.016671216581374597,0.7955631005513426,-0.02161516599914427,0.7369122363657694
2,Argentina,0.05080254506753052,0.4304866757089002,0.06949771171500314,0.2805514953865608
3,Aruba,-0.03471563946671261,0.5956681967038346,-0.001030459442708306,0.9874368925550686
4,Australia,-0.008830429358354179,0.8908489338175379,0.07859637391606145,0.22121509501779865
5,Austria,0.00989748272588873,0.8785125092340118,0.030691274473785786,0.635434838427642
6,Azerbaijan,-0.04669870956485571,0.46685274257502285,-0.0019133935795601724,0.9762295805027479
7,Bahrain,0.03481265803607086,0.588395395833636,0.039765392811618096,0.5364367853638117
8,Bangladesh,0.09933100038611796,0.12330688496616403,0.01192147859735178,0.8536204200554419
9,Barbados,0.006005232863384607,0.9271975706770056,0.0,1.0
10,Belarus,0.07962505715030678,0.2259680374354762,0.06706065289925611,0.3080704854944749
11,Belgium,0.008385817286035826,0.8978184097120309,0.07334852569425179,0.2607027236540384
12,Belize,-0.0011345938717388427,0.986137846550942,0.0018899985488953295,0.9769105701546468
13,Bermuda,0.022319468213127636,0.7286708317684154,0.0,1.0
14,Bolivia,0.05731518841550321,0.37568573645803904,0.016421437026273408,0.7997884122320232
15,Botswana,-0.0020670306068869327,0.9744276246869938,-0.00953793113679516,0.8824072010839283
16,Brazil,0.008058801319473091,0.900540524806869,0.07312473480642116,0.256147003943154
17,Bulgaria,-0.005786329956662092,0.9283492138398013,0.038899027056161155,0.5453577593096086
18,Cameroon,-0.0017309722556083525,0.9785396325701234,0.03505738097735403,0.585774617477888
19,Canada,0.07850189148129713,0.221772542860048,0.016272174562338343,0.8003524375140161
20,Chad,-0.022220230950428525,0.7282233623502923,-0.013084369738519274,0.8378825719598177
21,Chile,-0.13268921950510412,0.037158318690175864,-0.12260715830569398,0.054302591050469355
22,China,-0.03429665662801806,0.5849135034164936,-0.05791808020796946,0.35604408438344337
23,Colombia,0.1227517340951478,0.05757488883426748,0.03598300718172002,0.5790891446723917
24,Croatia,0.01004285448927188,0.8759756561264568,-0.03107882073994581,0.629031466301252
25,Cuba,0.010125415891134743,0.8759957277386701,0.019245875881351796,0.7667515424171552
26,Cyprus,0.02453304226889667,0.7047382437194731,-0.02355495720408734,0.7159919924044973
27,Denmark,0.03077318768581271,0.633115680344688,0.04055925730728349,0.5291820107153797
28,Djibouti,0.047954899562745845,0.456805924724379,-0.008714477708891511,0.892495352262922
29,Ecuador,0.025637166757596228,0.6908892401906752,0.002290979153125207,0.9716581354251186
30,Egypt,0.15385166141826773,0.018782437712102668,0.07874648433568952,0.23114729824310887
31,Estonia,0.019489043132029146,0.76485780383519,0.05086345164934013,0.43476861411038137
32,Ethiopia,0.05128778346574025,0.428020970031449,-0.00827956244191532,0.8982539881195187
33,Fiji,-0.02359952856137842,0.7137722796215463,0.0,1.0
34,Finland,0.00472962047815002,0.9428798719198147,0.024205258096617867,0.713808589236872
35,Gabon,0.027539922450124717,0.671201412783387,0.004721608044796538,0.9419928419902825
36,Gambia,0.023511746955910108,0.7187762282287095,-0.016350053307471288,0.8022843588429573
37,Georgia,0.025630531619080694,0.6909651389810241,0.012333093283047469,0.8483141708216404
38,Germany,0.003957102903678797,0.9521974671843338,0.07563248821266311,0.2512074075252569
39,Ghana,-0.031183573827555263,0.6329042848602171,-0.011614138325042846,0.8588344451070774
40,Greece,-0.0012032394420554645,0.985081470960459,0.05198346124918794,0.41886918966870945
41,Guatemala,0.10721061187466172,0.09893967575611594,0.02011102721313664,0.757583535869349
42,Guinea,-0.019005037500993333,0.7677109279513511,-0.023001058619415524,0.7207247442870848
43,Haiti,-0.01109387948029865,0.865381561064308,-0.0024123421344797967,0.9705947287911483
44,Honduras,0.022134966959829853,0.7324393781769718,-0.013827468133352004,0.8308947238413047
45,Hungary,0.024304182042923405,0.7091277995489154,-0.018729103378412954,0.77377349539858
46,Iceland,-0.03462925598096082,0.5911333358349404,0.0,1.0
47,India,0.058997546134414595,0.36998773103651394,0.06327711552449627,0.33622408214671895
48,Indonesia,0.020991091297520952,0.7478461944590835,-0.06592176737157229,0.31221424854325197
49,Iran,-0.06002071520450394,0.35052001093143703,-0.05348766623412627,0.40551658248964695
50,Iraq,0.0768251104334557,0.23183233964487704,0.007136793402435717,0.9116883263302487
51,Ireland,-0.014543237361055728,0.8211873915982453,0.024335649774782423,0.7052530488888151
52,Israel,0.008561267728108722,0.8945928301690997,-0.016968741786273462,0.7928405217799983
53,Italy,0.033332056720331904,0.6096526291170898,0.00473985741198681,0.9421373273313763
54,Jamaica,0.014150996602826347,0.8287941997497341,-0.003844263869238148,0.9531565278727878
55,Japan,-0.01218983863902569,0.851603758361587,0.013393354765902114,0.8371471254296325
56,Kazakhstan,0.037855335634685315,0.5578406465395567,0.02152946264462685,0.7389649121768392
57,Kenya,0.014108659120565017,0.825739091552558,0.03612200022999776,0.5728562741977209
58,Kuwait,0.025801385697243807,0.6883997190654614,0.0021907368128492068,0.9728414903463957
59,Latvia,0.009361540542383024,0.8850442528149285,-0.00674073247392691,0.9170888560645527
60,Lebanon,-0.0657023940436229,0.30872658223939764,-0.07319803192001413,0.25666003067734405
61,Lesotho,-0.013327772382034345,0.8382732340064218,-0.008993273571692134,0.8904613382369562
62,Liberia,0.007596056750209617,0.9062245848875132,-0.007706119531987645,0.9048721999042901
63,Libya,-0.010258975588083268,0.8735891479345207,-0.023715134659817592,0.7130015419054638
64,Luxembourg,-0.02565483837933818,0.6962361464937753,-0.01627997235995295,0.8043522101930816
65,Madagascar,-0.007068504359090159,0.9132544820644353,0.002433072191014606,0.9700893239169119
66,Malawi,-0.02316873269751804,0.7204529550103793,-0.037880270071064405,0.5584047655731637
67,Malaysia,0.018381851292237954,0.7783172493613093,-0.007262170817410101,0.9114497682463394
68,Mali,0.030659260015718875,0.6336713711061861,0.02402084667258507,0.7088918878314763
69,Mauritania,0.026986347231551414,0.6748858354193138,-0.004929363662042258,0.9389384246938425
70,Mauritius,0.004844920442980019,0.9399824694070126,-0.02787419962061791,0.6648278807684322
71,Mexico,0.0880107974136004,0.17324980923125338,0.01841232659304122,0.776123642477468
72,Moldova,0.023208191433054786,0.7177581523472564,-0.0038562121041378914,0.9521151680461564
73,Morocco,0.05639966647889797,0.3803967860772165,0.014736156692060224,0.8188560597642374
74,Mozambique,-0.007814853782614256,0.9035364082804636,-0.0022861959667134246,0.9717172839003104
75,Myanmar,0.09287599573438515,0.14805163425071152,0.05465922373121481,0.39529411601161746
76,Namibia,0.03340759638208501,0.6042961716132368,-0.0005552669806465654,0.9931294012510558
77,Nepal,-0.03167930175366139,0.6275061346258213,0.003851022480919624,0.9529740071791357
78,Nicaragua,-0.01993956204324595,0.7585996694050654,0.0,1.0
79,Niger,0.02573137634367436,0.6947507166762055,-0.05425074233828745,0.40777049627560424
80,Nigeria,0.09914298415551887,0.1313159086294082,0.042964848774398344,0.5140114285692425
81,Oman,0.00794032981792967,0.9032194208964552,0.034909155369844166,0.5928287942309209
82,Pakistan,0.029849633171434915,0.643354566113608,0.011702176073296721,0.8559873072561668
83,Panama,0.02510028602847071,0.6982407090369055,-0.02199910256989048,0.7340196203515259
84,Paraguay,0.04056996782598557,0.5282179384018075,-0.032537796127962614,0.6130106482591231
85,Peru,0.03109069112504098,0.6360963997310598,0.14601967367664712,0.025503093861987708
86,Philippines,0.0466765518083072,0.4661474319950736,0.06064722883124037,0.3435154233876354
87,Poland,0.039812277788466986,0.5445215427062431,0.018585344334338515,0.7773277918105549
88,Portugal,0.05976645364638479,0.3525683098503892,0.014082554677658407,0.826760823717137
89,Qatar,0.11848591812555945,0.06462845743119054,0.009481084922850654,0.8828620100587061
90,Romania,-0.00463775117037922,0.9425443133478963,-0.0036056938887269285,0.9553149607914676
91,Russia,0.15894431995132094,0.015379523666905651,0.08314250064405451,0.2070443979394114
92,Rwanda,-0.03926645296833323,0.5440871884215104,-0.014865108767060736,0.8184170358282298
93,Senegal,0.058615927581041526,0.36898168093445094,0.01743647470961651,0.7894443721953257
94,Serbia,0.03225032792890886,0.6139705619820086,0.0038545436015970033,0.9519391282395886
95,Singapore,-0.008563429087707988,0.895887799103581,0.004398609985532034,0.9464111236055432
96,Slovakia,-0.013122654389522852,0.838401482332584,0.0008989415642689934,0.9888540646966433
97,Slovenia,-0.013106796193272742,0.8409187942736067,0.018366287835973417,0.7785000736288208
98,Somalia,0.010777922103954585,0.8680751499739507,-0.028631641352745287,0.658971057638086
99,Sudan,0.042214610494682246,0.5213937581189138,0.03596272050851685,0.5849480324445335
100,Suriname,0.005240319388473381,0.9350947223846838,0.04745840252716133,0.4605550911872127
101,Swaziland,0.024697455221846486,0.7016689479761733,0.014225073011119051,0.8253924357670643
102,Sweden,-0.039343659796762645,0.550135906086289,0.08104785559012223,0.21775602236775665
103,Switzerland,-0.04138317877336024,0.5208415411380398,0.008170584889563468,0.8991681950626154
104,Syria,-0.033567922730983274,0.6018080284628877,-0.03272782007785655,0.6109372624778021
105,Taiwan,0.003739886255939008,0.9537496998456612,0.033070315788553344,0.6079531195597603
106,Tajikistan,-0.13479615999410394,0.03852393289169876,0.012823270428311884,0.8446438858644955
107,Tanzania,0.026845253962859864,0.678391979650883,0.02715565181821209,0.6748838876190488
108,Thailand,-0.013929887279682317,0.8303659911171933,0.04710747071443824,0.46854513641851103
109,Togo,-0.029807755970346406,0.6445105379469751,0.03393421948149265,0.5993672379479064
110,Tunisia,-0.0033299280586098884,0.9585589590128543,0.014481214358752112,0.8212138607497321
111,Turkey,0.03308939585524887,0.6153095682327192,0.08478141132707724,0.19722605279621436
112,Ukraine,0.05118034125680067,0.4289905707945063,0.026125320707026167,0.6865552097557698
113,Uzbekistan,0.05973638102161572,0.36715422784524776,0.002094046639248224,0.9748031698148008
114,Venezuela,0.011979410319974381,0.852009394514494,0.012829213268207256,0.8416446468242995
115,Yemen,-0.0007613248014858473,0.9905602823691546,0.009395287282272409,0.8839145335570524
116,Zambia,-0.04588450441519062,0.4755770928187303,0.005744800223947081,0.9288621056798777
117,Zimbabwe,-0.055009155583779085,0.3922710573538205,0.003775174299883592,0.9532169452569452
