time,total_cases,daily_cases,total_currently_infected,total_death
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,1,0,1,0
2020-03-14,1,0,1,0
2020-03-15,1,0,1,0
2020-03-16,1,0,0,1
2020-03-17,1,0,0,1
2020-03-18,1,0,0,1
2020-03-19,3,2,2,1
2020-03-20,3,0,2,1
2020-03-21,3,0,2,1
2020-03-22,3,0,2,1
2020-03-23,5,2,4,1
2020-03-24,6,1,5,1
2020-03-25,8,2,7,1
2020-03-26,8,0,7,1
2020-03-27,8,0,7,1
2020-03-28,8,0,7,1
2020-03-29,12,4,11,1
2020-03-30,12,0,11,1
2020-03-31,14,2,13,1
2020-04-01,22,8,21,1
2020-04-02,28,6,27,1
2020-04-03,29,1,27,1
2020-04-04,35,6,33,1
2020-04-05,39,4,37,1
2020-04-06,39,0,37,1
2020-04-07,45,6,38,1
2020-04-08,45,0,38,1
2020-04-09,45,0,38,1
2020-04-10,45,0,38,1
2020-04-11,53,8,46,1
2020-04-12,53,0,46,1
2020-04-13,54,1,47,1
2020-04-14,54,0,47,1
2020-04-15,60,6,53,1
2020-04-16,60,0,53,1
2020-04-17,61,1,53,1
2020-04-18,61,0,53,1
2020-04-19,61,0,53,1
2020-04-20,66,5,58,1
2020-04-21,66,0,58,1
2020-04-22,66,0,58,1
2020-04-23,66,0,58,1
2020-04-24,70,4,61,1
2020-04-25,70,0,61,1
2020-04-26,70,0,61,1
2020-04-27,70,0,61,1
2020-04-28,70,0,59,1
2020-04-29,73,3,62,1
2020-04-30,73,0,62,1
2020-05-01,74,1,63,1
2020-05-02,74,0,63,1
2020-05-03,74,0,63,1
2020-05-04,75,1,60,1
2020-05-05,75,0,60,1
2020-05-06,78,3,47,1
2020-05-07,80,2,44,1
2020-05-08,81,1,39,1
2020-05-09,81,0,39,1
2020-05-10,81,0,39,1
2020-05-11,84,3,36,1
2020-05-12,85,1,34,1
2020-05-13,86,1,31,1
2020-05-14,93,7,38,1
2020-05-15,94,1,38,1
2020-05-16,94,0,38,1
2020-05-17,94,0,38,1
2020-05-18,94,0,38,1
2020-05-19,111,17,55,1
2020-05-20,111,0,55,1
2020-05-21,121,10,65,1
2020-05-22,129,8,67,1
2020-05-23,129,0,67,1
2020-05-24,129,0,67,1
2020-05-25,134,5,72,1
2020-05-26,137,3,73,1
2020-05-27,140,3,72,1
2020-05-28,140,0,72,1
2020-05-29,141,1,72,1
2020-05-30,141,0,72,1
2020-05-31,141,0,72,1
2020-06-01,150,9,74,1
2020-06-02,151,1,73,1
2020-06-03,156,5,77,1
2020-06-04,160,4,74,1
2020-06-05,164,4,70,1
2020-06-06,164,0,70,1
2020-06-07,164,0,70,1
2020-06-08,171,7,68,1
2020-06-09,176,5,71,1
2020-06-10,180,4,72,1
2020-06-11,186,6,73,1
2020-06-12,187,1,71,1
2020-06-13,187,0,71,1
2020-06-14,187,0,71,1
2020-06-15,187,0,71,1
2020-06-16,193,6,69,1
2020-06-17,193,0,60,1
2020-06-18,193,0,51,1
2020-06-19,195,2,51,1
2020-06-20,195,0,51,1
2020-06-21,195,0,51,1
2020-06-22,195,0,48,1
2020-06-23,195,0,40,1
2020-06-24,196,1,26,1
2020-06-25,196,0,11,1
2020-06-26,196,0,9,1
2020-06-27,196,0,9,1
2020-06-28,196,0,9,1
2020-06-29,199,3,9,1
2020-06-30,200,1,8,1
2020-07-01,201,1,7,1
2020-07-02,201,0,6,1
2020-07-03,201,0,6,1
2020-07-04,201,0,6,1
2020-07-05,201,0,6,1
2020-07-06,201,0,6,1
2020-07-07,201,0,6,1
2020-07-08,201,0,3,1
2020-07-09,201,0,3,1
2020-07-10,201,0,3,1
2020-07-11,201,0,3,1
2020-07-12,201,0,3,1
2020-07-13,203,2,2,1
2020-07-14,203,0,2,1
2020-07-15,203,0,2,1
2020-07-16,203,0,2,1
2020-07-17,203,0,2,1
2020-07-18,203,0,2,1
2020-07-19,203,0,2,1
2020-07-20,203,0,2,1
2020-07-21,203,0,1,1
2020-07-22,203,0,1,1
2020-07-23,203,0,0,1
2020-07-24,203,0,0,1
2020-07-25,203,0,0,1
2020-07-26,203,0,0,1
2020-07-27,203,0,0,1
2020-07-28,203,0,0,1
2020-07-29,203,0,0,1
2020-07-30,203,0,0,1
2020-07-31,203,0,0,1
2020-08-01,203,0,0,1
2020-08-02,203,0,0,1
2020-08-03,203,0,0,1
2020-08-04,203,0,0,1
2020-08-05,203,0,0,1
2020-08-06,203,0,0,1
2020-08-07,203,0,0,1
2020-08-08,203,0,0,1
2020-08-09,203,0,0,1
2020-08-10,203,0,0,1
2020-08-11,203,0,0,1
2020-08-12,203,0,0,1
2020-08-13,203,0,0,1
2020-08-14,203,0,0,1
2020-08-15,203,0,0,1
2020-08-16,203,0,0,1
2020-08-17,203,0,0,1
2020-08-18,203,0,0,1
2020-08-19,205,2,2,1
2020-08-20,205,0,2,1
2020-08-21,205,0,2,1
2020-08-22,205,0,2,1
2020-08-23,205,0,2,1
2020-08-24,205,0,2,1
2020-08-25,205,0,2,1
2020-08-26,205,0,2,1
2020-08-27,205,0,2,1
2020-08-28,205,0,2,1
2020-08-29,205,0,2,1
2020-08-30,205,0,2,1
2020-08-31,205,0,2,1
2020-09-01,205,0,0,1
2020-09-02,205,0,0,1
2020-09-03,205,0,0,1
2020-09-04,205,0,0,1
2020-09-05,205,0,0,1
2020-09-06,205,0,0,1
2020-09-07,205,0,0,1
2020-09-08,205,0,0,1
2020-09-09,207,2,2,1
2020-09-10,208,1,3,1
2020-09-11,208,0,3,1
2020-09-12,208,0,3,1
2020-09-13,208,0,3,1
2020-09-14,208,0,3,1
2020-09-15,208,0,3,1
2020-09-16,208,0,3,1
2020-09-17,208,0,3,1
2020-09-18,208,0,3,1
2020-09-19,208,0,3,1
2020-09-20,208,0,3,1
2020-09-21,209,1,4,1
2020-09-22,210,1,4,1
2020-09-23,210,0,4,1
2020-09-24,210,0,4,1
2020-09-25,210,0,2,1
2020-09-26,210,0,2,1
2020-09-27,210,0,2,1
2020-09-28,211,1,2,1
2020-09-29,211,0,2,1
2020-09-30,211,0,2,1
2020-10-01,211,0,1,1
2020-10-02,213,2,3,1
2020-10-03,213,0,3,1
2020-10-04,213,0,3,1
2020-10-05,213,0,2,1
2020-10-06,213,0,2,1
2020-10-07,213,0,2,1
2020-10-08,214,1,2,1
2020-10-09,220,6,8,1
2020-10-10,221,1,9,1
2020-10-11,221,0,9,1
2020-10-12,221,0,9,1
2020-10-13,221,0,9,1
2020-10-14,225,4,12,1
2020-10-15,225,0,12,1
2020-10-16,233,8,20,1
2020-10-17,233,0,20,1
2020-10-18,233,0,20,1
2020-10-19,235,2,22,1
2020-10-20,235,0,20,1
2020-10-21,235,0,20,1
2020-10-22,236,1,20,1
2020-10-23,239,3,23,1
2020-10-24,239,0,23,1
2020-10-25,239,0,23,1
2020-10-26,239,0,22,1
2020-10-27,239,0,20,1
2020-10-28,239,0,20,1
2020-10-29,239,0,20,1
2020-10-30,240,1,18,1
2020-10-31,240,0,18,1
