time,total_cases,daily_cases,total_currently_infected
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,1,0,1
2020-03-11,1,0,1
2020-03-12,1,0,1
2020-03-13,1,0,1
2020-03-14,1,0,1
2020-03-15,1,0,1
2020-03-16,4,3,4
2020-03-17,5,1,5
2020-03-18,6,1,6
2020-03-19,6,0,6
2020-03-20,6,0,6
2020-03-21,10,4,10
2020-03-22,10,0,10
2020-03-23,10,0,10
2020-03-24,10,0,10
2020-03-25,10,0,10
2020-03-26,11,1,11
2020-03-27,11,0,11
2020-03-28,12,1,12
2020-03-29,12,0,12
2020-03-30,12,0,10
2020-03-31,12,0,10
2020-04-01,14,2,12
2020-04-02,14,0,12
2020-04-03,14,0,12
2020-04-04,14,0,12
2020-04-05,14,0,12
2020-04-06,15,1,13
2020-04-07,15,0,11
2020-04-08,16,1,12
2020-04-09,16,0,12
2020-04-10,16,0,12
2020-04-11,16,0,12
2020-04-12,16,0,12
2020-04-13,17,1,13
2020-04-14,30,13,25
2020-04-15,30,0,25
2020-04-16,31,1,26
2020-04-17,31,0,26
2020-04-18,31,0,26
2020-04-19,32,1,25
2020-04-20,33,1,26
2020-04-21,34,1,26
2020-04-22,35,1,27
2020-04-23,35,0,27
2020-04-24,36,1,27
2020-04-25,37,1,28
2020-04-26,38,1,29
2020-04-27,38,0,28
2020-04-28,38,0,28
2020-04-29,38,0,28
2020-04-30,38,0,28
2020-05-01,38,0,28
2020-05-02,39,1,29
2020-05-03,39,0,29
2020-05-04,40,1,28
2020-05-05,41,1,28
2020-05-06,41,0,28
2020-05-07,41,0,28
2020-05-08,42,1,29
2020-05-09,42,0,28
2020-05-10,42,0,28
2020-05-11,42,0,28
2020-05-12,42,0,27
2020-05-13,42,0,27
2020-05-14,61,19,46
2020-05-15,98,37,78
2020-05-16,135,37,115
2020-05-17,136,1,115
2020-05-18,140,4,116
2020-05-19,140,0,114
2020-05-20,140,0,114
2020-05-21,140,0,114
2020-05-22,141,1,113
2020-05-23,141,0,111
2020-05-24,141,0,109
2020-05-25,141,0,108
2020-05-26,141,0,104
2020-05-27,148,7,105
2020-05-28,161,13,118
2020-05-29,179,18,136
2020-05-30,179,0,135
2020-05-31,179,0,135
2020-06-01,185,6,141
2020-06-02,185,0,141
2020-06-03,185,0,141
2020-06-04,186,1,121
2020-06-05,191,5,121
2020-06-06,193,2,122
2020-06-07,193,0,118
2020-06-08,194,1,119
2020-06-09,194,0,109
2020-06-10,194,0,107
2020-06-11,194,0,105
2020-06-12,197,3,102
2020-06-13,197,0,102
2020-06-14,197,0,99
2020-06-15,197,0,89
2020-06-16,197,0,88
2020-06-17,197,0,86
2020-06-18,201,4,74
2020-06-19,204,3,72
2020-06-20,204,0,65
2020-06-21,206,2,67
2020-06-22,213,7,60
2020-06-23,215,2,57
2020-06-24,215,0,47
2020-06-25,216,1,47
2020-06-26,219,3,49
2020-06-27,219,0,44
2020-06-28,219,0,44
2020-06-29,220,1,45
2020-06-30,220,0,45
2020-07-01,220,0,44
2020-07-02,220,0,43
2020-07-03,220,0,41
2020-07-04,220,0,37
2020-07-05,220,0,35
2020-07-06,220,0,32
2020-07-07,225,5,31
2020-07-08,227,2,32
2020-07-09,227,0,30
2020-07-10,227,0,30
2020-07-11,227,0,27
2020-07-12,230,3,28
2020-07-13,230,0,27
2020-07-14,243,13,39
2020-07-15,261,18,54
2020-07-16,261,0,52
2020-07-17,262,1,51
2020-07-18,287,25,76
2020-07-19,287,0,74
2020-07-20,287,0,74
2020-07-21,287,0,74
2020-07-22,287,0,74
2020-07-23,287,0,73
2020-07-24,288,1,71
2020-07-25,288,0,70
2020-07-26,288,0,70
2020-07-27,288,0,70
2020-07-28,289,1,67
2020-07-29,291,2,66
2020-07-30,291,0,66
2020-07-31,291,0,66
2020-08-01,291,0,61
2020-08-02,293,2,63
2020-08-03,293,0,63
2020-08-04,293,0,63
2020-08-05,293,0,49
2020-08-06,293,0,33
2020-08-07,293,0,33
2020-08-08,293,0,33
2020-08-09,293,0,30
2020-08-10,293,0,30
2020-08-11,293,0,30
2020-08-12,293,0,24
2020-08-13,297,4,28
2020-08-14,297,0,28
2020-08-15,298,1,26
2020-08-16,298,0,22
2020-08-17,298,0,22
2020-08-18,298,0,20
2020-08-19,298,0,17
2020-08-20,298,0,17
2020-08-21,298,0,15
2020-08-22,298,0,10
2020-08-23,298,0,10
2020-08-24,298,0,9
2020-08-25,298,0,9
2020-08-26,300,2,11
2020-08-27,301,1,10
2020-08-28,301,0,10
2020-08-29,301,0,10
2020-08-30,301,0,6
2020-08-31,301,0,6
2020-09-01,304,3,9
2020-09-02,306,2,10
2020-09-03,306,0,10
2020-09-04,310,4,14
2020-09-05,310,0,14
2020-09-06,310,0,14
2020-09-07,310,0,14
2020-09-08,310,0,14
2020-09-09,310,0,14
2020-09-10,310,0,12
2020-09-11,311,1,13
2020-09-12,311,0,13
2020-09-13,311,0,13
2020-09-14,311,0,11
2020-09-15,311,0,10
2020-09-16,311,0,10
2020-09-17,311,0,10
2020-09-18,311,0,9
2020-09-19,311,0,9
2020-09-20,312,1,10
2020-09-21,312,0,10
2020-09-22,313,1,11
2020-09-23,313,0,11
2020-09-24,313,0,11
2020-09-25,313,0,10
2020-09-26,313,0,10
2020-09-27,313,0,10
2020-09-28,313,0,8
2020-09-29,313,0,8
2020-09-30,313,0,8
2020-10-01,313,0,6
2020-10-02,313,0,6
2020-10-03,313,0,6
2020-10-04,313,0,6
2020-10-05,314,1,7
2020-10-06,315,1,8
2020-10-07,315,0,7
2020-10-08,315,0,7
2020-10-09,315,0,7
2020-10-10,315,0,5
2020-10-11,316,1,6
2020-10-12,318,2,8
2020-10-13,320,2,9
2020-10-14,320,0,9
2020-10-15,320,0,9
2020-10-16,320,0,9
2020-10-17,320,0,9
2020-10-18,324,4,12
2020-10-19,324,0,12
2020-10-20,326,2,14
2020-10-21,327,1,15
2020-10-22,328,1,16
2020-10-23,328,0,16
2020-10-24,337,9,25
2020-10-25,338,1,26
2020-10-26,339,1,27
2020-10-27,340,1,28
2020-10-28,340,0,28
2020-10-29,340,0,28
2020-10-30,340,0,27
2020-10-31,346,6,33
